person1_name,person1_dob,person1_tob,person1_pob,person1_moon_sign,person1_nakshatra,person2_name,person2_dob,person2_tob,person2_pob,person2_moon_sign,person2_nakshatra,varna_score,vashya_score,tara_score,yoni_score,graha_maitri_score,gana_score,bhakoot_score,nadi_score,total_score,compatible
About Sandeep Bavanaka/ Who is Sandeep Bavanaka ?,"April 25, 1992",12:00:00,Hyderabad,Capricorn,Uttara Ashadha,About Shahbaz Ahmed/ Who is Shahbaz Ahmed ?,"December 12, 1994",12:00:00,mewat,Pisces,Purva Bhadrapada,0,1,1,2,3,6,7,8,28,1
Heena Sidhu,"August 29, 1989",12:00:00,Ludhiana,Cancer,Punarvasu,Sourav Ganguly,"July 08, 1972",01:00:00,kolkata(india),Taurus,Krittika,1,1,1,2,0,1,7,8,21,1
About Jagadeesha Suchith/ Who is Jagadeesha Suchith ?,"January 16, 1994",12:00:00,Mysore,Aquarius,Dhanishta,About Yudhvir Charak/ Who is Yudhvir Charak ?,"December 13, 1997",12:00:00,Jammu,Taurus,Krittika,0,1,1,3,5,6,7,8,31,1
Heena Sidhu,"August 29, 1989",12:00:00,Ludhiana,Cancer,Punarvasu,Terry Bradshaw,"September 12, 1948",11:10:00,Shreveport LA,Sagittarius,Mula,1,1,1,2,4,1,0,0,10,0
About Sheldon Cottrell/ Who is Sheldon Cottrell ?,"August 19, 1989",12:00:00,jamaica,Pisces,Purva Bhadrapada,Virender Sehwag,"October 20, 1978",02:45:00,Delhi,Taurus,Krittika,1,1,1,2,0,0,7,8,20,1
About Kc Cariappa/ Who is Kc Cariappa ?,"April 13, 1994",12:00:00,Bangalore,Aries,Ashwini,Jose Brasa,"August 22, 1951",12:00:00,Spanish,Aries,Ashwini,1,2,3,4,5,6,7,0,28,1
About R Sai Kishore/ Who is R Sai Kishore ?,"November 6, 1996",12:00:00,Chennai,Leo,Magha,Virender Sehwag,"October 20, 1978",02:45:00,Delhi,Taurus,Krittika,1,0,1,3,0,6,7,0,18,1
About Rajat Patidar/ Who is Rajat Patidar ?,"June 1, 1993",12:00:00,Indore,Libra,Chitra,Raju Gaikwad,"September 25, 1990",12:00:00,Mumbai,Scorpio,Vishakha,0,0,1,4,3,6,0,8,22,1
About Ripal Patel/ Who is Ripal Patel ?,"September 28, 1995",12:00:00,Nadiad,Libra,Chitra,About Abdul Samad/ Who is Abdul Samad ?,"October 28, 2001",12:00:00,Kalakote,Aquarius,Dhanishta,1,2,3,3,5,6,0,0,20,1
About Kartik Tyagi/ Who is Kartik Tyagi ?,"November 8, 2000",12:00:00,Hapur,Pisces,Purva Bhadrapada,Lance Armstrong,"September 18, 1971",12:00:00,Plano,Leo,Magha,1,0,1,2,5,0,0,8,17,0
Dhyan Chand,"August 29, 1905",02:00:00,Allahabad,Cancer,Punarvasu,Vikram Pillay,"November 27, 1981",12:00:00,Khadki,Scorpio,Vishakha,1,0,3,2,4,1,0,8,19,1
About Sanjay Yadav/ Who is Sanjay Yadav ?,"May 10, 1995",12:00:00,Gorakhpur,Leo,Magha,Mehtab Hossain,"October 13, 1982",12:00:00,Calcutta,Leo,Magha,1,2,3,4,5,6,7,0,28,1
About Venkatesh Iyer/ Who is Venkatesh Iyer ?,"December 25, 1994",12:00:00,Indore,Virgo,Uttara Phalguni,Robin Roberts,"September 30, 1926",11:44:59,"89 W 39, 39 N 47",Cancer,Punarvasu,0,1,1,3,1,5,7,0,18,1
About Venkatesh Iyer/ Who is Venkatesh Iyer ?,"December 25, 1994",12:00:00,Indore,Virgo,Uttara Phalguni,Gabriel Paletta,"February 15, 1986",12:00:00,"Longchamps, Buenos Aires, Argentina",Aries,Ashwini,0,1,1,3,0,5,0,0,10,0
About Sanjay Yadav/ Who is Sanjay Yadav ?,"May 10, 1995",12:00:00,Gorakhpur,Leo,Magha,Marco Verratti,"November 05, 1992",12:00:00,Pescara,Aquarius,Dhanishta,1,0,1,3,0,6,7,8,26,1
Robin Roberts,"September 30, 1926",11:44:59,"89 W 39, 39 N 47",Cancer,Punarvasu,Deepak Thakur,"December 28, 1980",12:00:00,Bhamowal,Virgo,Uttara Phalguni,1,1,1,2,1,6,7,0,19,1
About Vishnu Vinod/ Who is Vishnu Vinod ?,"December 2, 1993",12:00:00,Thirumangalam,Gemini,Mrigashira,About Priyam Garg/ Who is Priyam Garg ?,"November 30, 2000",12:00:00,Meerut,Capricorn,Uttara Ashadha,0,1,1,0,4,6,0,8,20,1
About Daniel Sams/ Who is Daniel Sams ?,"October 27, 1992",12:00:00,Milperra,Libra,Chitra,Peter Judge,"October 10, 1959",09:53:59,"71 W 4, 42 N 21",Capricorn,Uttara Ashadha,0,1,1,2,5,0,7,8,24,1
Sachin Tendulkar,"April 24, 1973",14:25:00,Mumbai,Sagittarius,Mula,Thiago Motta,"August 28, 1982",12:00:00,"So Bernardo do Campo, Sao Paulo, Brazil",Sagittarius,Mula,1,2,3,4,5,6,7,0,28,1
About Priyam Garg/ Who is Priyam Garg ?,"November 30, 2000",12:00:00,Meerut,Capricorn,Uttara Ashadha,Lance Armstrong,"September 18, 1971",12:00:00,Plano,Leo,Magha,0,0,1,2,0,0,0,0,3,0
Terry Bradshaw,"September 12, 1948",11:10:00,Shreveport LA,Sagittarius,Mula,Alberto Aquilani,"July 07, 1984",12:00:00,Rome,Libra,Chitra,1,2,1,3,0,6,7,8,28,1
Sachin Tendulkar,"April 24, 1973",14:25:00,Mumbai,Sagittarius,Mula,Danish Mujtaba,"December 20, 1988",12:00:00,Allahabad,Aries,Ashwini,1,1,3,3,5,1,0,0,14,0
Sourav Ganguly-1,"July 08, 1972",05:45:00,Calcutta,Taurus,Krittika,Ciro Immobile,"February 20, 1990",12:00:00,"Torre Annunziata, Italy",Sagittarius,Mula,0,1,1,2,0,6,0,8,18,1
About Shahbaz Ahmed/ Who is Shahbaz Ahmed ?,"December 12, 1994",12:00:00,mewat,Pisces,Purva Bhadrapada,Vikram Pillay,"November 27, 1981",12:00:00,Khadki,Scorpio,Vishakha,1,0,3,3,5,0,0,8,20,1
About Priyam Garg/ Who is Priyam Garg ?,"November 30, 2000",12:00:00,Meerut,Capricorn,Uttara Ashadha,Roy Hodgson,"August 09, 1947",12:00:00,Croydon,Aries,Ashwini,0,2,1,3,0,5,7,8,26,1
About Marco Jansen/ Who is Marco Jansen ?,"May 1, 2000",12:00:00,klerksdorp,Pisces,Purva Bhadrapada,Diego Maradona,"October 30, 1960",07:05:00,Buenos Aires,Aquarius,Dhanishta,1,1,1,4,3,0,0,8,18,1
About Finn Allen/ Who is Finn Allen ?,"April 22, 1999",12:00:00,Auckland,Gemini,Mrigashira,About Tom Banton/ Who is Tom Banton ?,"November 11, 1998",12:00:00,Chiltern Hills,Cancer,Punarvasu,0,1,1,2,1,6,0,8,19,1
About Saurabh Kumar/ Who is Saurabh Kumar ?,"May 1, 1993",12:00:00,Baghpat,Leo,Magha,Leonardo Bonucci,"May 01, 1987",12:00:00,"Viterbo, Italy",Taurus,Krittika,1,0,1,2,0,6,7,0,17,0
About Tim Seifert/ Who is Tim Seifert ?,"December 12, 1994",12:00:00,Whangarei,Pisces,Purva Bhadrapada,Leonardo Bonucci,"May 01, 1987",12:00:00,"Viterbo, Italy",Taurus,Krittika,1,1,1,2,0,0,7,8,20,1
About Ishan Porel/ Who is Ishan Porel ?,"September 5, 1998",12:00:00,Chinsura,Aquarius,Dhanishta,Sourav Ganguly-1,"July 08, 1972",05:45:00,Calcutta,Taurus,Krittika,0,1,1,2,5,6,7,8,30,1
About Chris Green/ Who is Chris Green ?,"October 1, 1993",12:00:00,Durban,Pisces,Purva Bhadrapada,M S Dhoni,"July 07, 1981",11:15:00,Ranchi,Virgo,Uttara Phalguni,1,1,1,3,0,6,7,0,19,1
Jim Jackson,"October 14, 1970",10:25:59,"83 W 32, 41 N 39",Pisces,Purva Bhadrapada,Joachim Low,"February 03, 1960",12:45:00,Schwarzwald,Aries,Ashwini,1,1,1,3,5,5,0,0,16,0
About Riley Meredith/ Who is Riley Meredith ?,"June 21, 1996",12:00:00,Hobart,Leo,Magha,About R Sai Kishore/ Who is R Sai Kishore ?,"November 6, 1996",12:00:00,Chennai,Leo,Magha,1,2,3,4,5,6,7,0,28,1
About Ks Bharat/ Who is Ks Bharat ?,"October 3, 1993",12:00:00,Vishakhapatnam,Aries,Ashwini,About Prince Balwant Rai Singh/ Who is Prince Balwant Rai Singh ?,"May 5, 1999",12:00:00,Sangrur,Sagittarius,Mula,1,1,3,2,5,1,0,0,13,0
About Jagadeesha Suchith/ Who is Jagadeesha Suchith ?,"January 16, 1994",12:00:00,Mysore,Aquarius,Dhanishta,About Abdul Samad/ Who is Abdul Samad ?,"October 28, 2001",12:00:00,Kalakote,Aquarius,Dhanishta,1,2,3,4,5,6,7,0,28,1
About Prince Balwant Rai Singh/ Who is Prince Balwant Rai Singh ?,"May 5, 1999",12:00:00,Sangrur,Sagittarius,Mula,Raju Gaikwad,"September 25, 1990",12:00:00,Mumbai,Scorpio,Vishakha,0,0,1,3,5,6,0,8,23,1
About Dawid Malan/ Who is Dawid Malan ?,"September 3, 1987",12:00:00,London,Sagittarius,Mula,Mehtab Hossain,"October 13, 1982",12:00:00,Calcutta,Leo,Magha,1,0,3,3,5,6,0,8,26,1
About Lalith Yadav/ Who is Lalith Yadav ?,"January 3, 1997",12:00:00,Delhi,Libra,Chitra,Doug Bollinger,"July 24, 1981",12:00:00,Baulkham Hills,Aries,Ashwini,0,1,1,2,3,1,7,8,23,1
About Alex Carey/ Who is Alex Carey ?,"August 27, 1991",12:00:00,loxton,Aquarius,Dhanishta,Phil Jackson,"September 17, 1945",17:39:59,"112 W 43, 46 N 22",Capricorn,Uttara Ashadha,0,1,1,2,5,0,0,8,17,0
Virat Kohli,"November 05, 1988",10:28:00,Delhi,Virgo,Uttara Phalguni,About Dawid Malan/ Who is Dawid Malan ?,"September 3, 1987",12:00:00,London,Sagittarius,Mula,0,2,1,2,0,0,7,0,12,0
About Dawid Malan/ Who is Dawid Malan ?,"September 3, 1987",12:00:00,London,Sagittarius,Mula,Marco Verratti,"November 05, 1992",12:00:00,Pescara,Aquarius,Dhanishta,1,2,1,2,3,6,7,8,30,1
About Kartik Tyagi/ Who is Kartik Tyagi ?,"November 8, 2000",12:00:00,Hapur,Pisces,Purva Bhadrapada,Doug Smith,"June 21, 1944",12:09:59,"79 W 23, 43 N 39",Gemini,Mrigashira,1,1,1,2,0,5,7,8,25,1
About Ravi Bishnoi/ Who is Ravi Bishnoi ?,"September 5, 2000",12:00:00,Jodhpur,Scorpio,Vishakha,About Kuldip Yadav/ Who is Kuldip Yadav ?,"December 14, 1994",12:00:00,Kanpur,Aries,Ashwini,1,0,1,2,5,1,0,8,18,1
Eric Abidal,"September 11, 1979",18:25:00,Lyons,Taurus,Krittika,Claudio Marchisio,"January 19, 1986",12:00:00,Turin,Aries,Ashwini,0,2,1,2,3,1,0,8,17,0
About Alex Carey/ Who is Alex Carey ?,"August 27, 1991",12:00:00,loxton,Aquarius,Dhanishta,Andrea Barzagli,"May 08, 1981",12:00:00,"Fiesole, Italy",Gemini,Mrigashira,1,2,3,3,4,1,0,0,14,0
About R Sai Kishore/ Who is R Sai Kishore ?,"November 6, 1996",12:00:00,Chennai,Leo,Magha,Gautam Gambhir,"October 14, 1981",12:00:00,Delhi,Aries,Ashwini,1,0,3,2,5,1,0,8,20,1
About Mohammed Azharuddeen/ Who is Mohammed Azharuddeen ?,"March 22, 1994",12:00:00,Thalangara,Gemini,Mrigashira,Marco Parolo,"January 25, 1985",12:00:55,"Gallarate, Italy",Pisces,Purva Bhadrapada,0,1,1,2,0,6,7,8,25,1
About Sheldon Cottrell/ Who is Sheldon Cottrell ?,"August 19, 1989",12:00:00,jamaica,Pisces,Purva Bhadrapada,Peter Judge,"October 10, 1959",09:53:59,"71 W 4, 42 N 21",Capricorn,Uttara Ashadha,1,1,1,2,3,6,7,8,29,1
About Harishankar Reddy/ Who is Harishankar Reddy ?,"June 2, 1998",12:00:00,Rayachoti,Leo,Magha,Terry Bradshaw,"September 12, 1948",11:10:00,Shreveport LA,Sagittarius,Mula,1,0,3,3,5,6,0,8,26,1
About Mohammed Azharuddeen/ Who is Mohammed Azharuddeen ?,"March 22, 1994",12:00:00,Thalangara,Gemini,Mrigashira,Claudio Marchisio,"January 19, 1986",12:00:00,Turin,Aries,Ashwini,0,1,1,2,0,6,7,8,25,1
R Ashwin,"September 17, 1986",12:00:00,Madras Tamilnadu,Aquarius,Dhanishta,Gurbaj Singh,"August 09, 1988",12:00:00,Jalandhar,Gemini,Mrigashira,1,2,3,2,4,1,0,0,13,0
About R Sai Kishore/ Who is R Sai Kishore ?,"November 6, 1996",12:00:00,Chennai,Leo,Magha,Joachim Low,"February 03, 1960",12:45:00,Schwarzwald,Aries,Ashwini,1,0,3,3,5,1,0,8,21,1
Manoj Kumar Boxer,"December 10, 1986",12:00:00,Kaithal,Pisces,Purva Bhadrapada,V. R. Raghunath,"November 01, 1988",12:00:00,Kodagu,Cancer,Punarvasu,1,2,3,2,4,5,0,0,17,0
About Tom Banton/ Who is Tom Banton ?,"November 11, 1998",12:00:00,Chiltern Hills,Cancer,Punarvasu,About C Hari Nishanth/ Who is C Hari Nishanth ?,"August 16, 1996",13:00:00,Chennai,Leo,Magha,1,0,1,0,5,1,0,8,16,0
Brian Hill,"September 19, 1947",04:08:59,"74 W 9, 40 N 43",Libra,Chitra,Chris Miller,"August 09, 1965",09:36:59,"117 W 45, 34 N 3",Sagittarius,Mula,0,2,1,3,0,6,7,8,27,1
About Jagadeesha Suchith/ Who is Jagadeesha Suchith ?,"January 16, 1994",12:00:00,Mysore,Aquarius,Dhanishta,Jose Brasa,"August 22, 1951",12:00:00,Spanish,Aries,Ashwini,0,1,1,3,0,1,7,8,21,1
Andrea Barzagli,"May 08, 1981",12:00:00,"Fiesole, Italy",Gemini,Mrigashira,Mario Balotelli,"August 12, 1990",12:00:00,Palermo,Aries,Ashwini,0,1,1,2,0,6,7,8,25,1
About Akshar Patel/ Who is Akshar Patel ?,"January 20, 1994",12:00:00,Anand,Aries,Ashwini,Ciro Immobile,"February 20, 1990",12:00:00,"Torre Annunziata, Italy",Sagittarius,Mula,1,1,3,2,5,1,0,0,13,0
About Shahbaz Ahmed/ Who is Shahbaz Ahmed ?,"December 12, 1994",12:00:00,mewat,Pisces,Purva Bhadrapada,About Ishan Porel/ Who is Ishan Porel ?,"September 5, 1998",12:00:00,Chinsura,Aquarius,Dhanishta,1,1,1,4,3,0,0,8,18,1
Diego Maradona,"October 30, 1960",07:05:00,Buenos Aires,Aquarius,Dhanishta,Leonardo Bonucci,"May 01, 1987",12:00:00,"Viterbo, Italy",Taurus,Krittika,0,1,1,2,5,6,7,8,30,1
About Priyam Garg/ Who is Priyam Garg ?,"November 30, 2000",12:00:00,Meerut,Capricorn,Uttara Ashadha,Doug Smith,"June 21, 1944",12:09:59,"79 W 23, 43 N 39",Gemini,Mrigashira,1,1,1,0,4,5,0,8,20,1
About Daniel Sams/ Who is Daniel Sams ?,"October 27, 1992",12:00:00,Milperra,Libra,Chitra,Sourav Ganguly,"July 08, 1972",01:00:00,kolkata(india),Taurus,Krittika,0,1,1,0,5,6,0,8,21,1
Robin Roberts,"September 30, 1926",11:44:59,"89 W 39, 39 N 47",Cancer,Punarvasu,Rajpal Singh,"August 08, 1983",12:00:00,Chandigarh,Cancer,Punarvasu,1,2,3,4,5,6,7,0,28,1
About Yashasvi Jaiswal/ Who is Yashasvi Jaiswal ?,"December 28, 2001",12:00:00,Surianwan,Taurus,Krittika,Salvatore Sirigu,"January 12, 1987",12:00:00,"Nuoro, Italy",Taurus,Krittika,1,2,3,4,5,6,7,0,28,1
About Priyam Garg/ Who is Priyam Garg ?,"November 30, 2000",12:00:00,Meerut,Capricorn,Uttara Ashadha,Gautam Gambhir,"October 14, 1981",12:00:00,Delhi,Aries,Ashwini,0,2,1,3,0,5,7,8,26,1
About Daniel Sams/ Who is Daniel Sams ?,"October 27, 1992",12:00:00,Milperra,Libra,Chitra,Brian Hill,"September 19, 1947",04:08:59,"74 W 9, 40 N 43",Libra,Chitra,1,2,3,4,5,6,7,0,28,1
Lance Armstrong,"September 18, 1971",12:00:00,Plano,Leo,Magha,Kelly Marie Miller,"September 16, 1978",07:40:00,"92 W 28, 44 N 0",Aquarius,Dhanishta,1,0,1,3,0,6,7,8,26,1
About Lukman Meriwala/ Who is Lukman Meriwala ?,"December 11, 1991",12:00:00,Vadodara,Capricorn,Uttara Ashadha,Peter Judge,"October 10, 1959",09:53:59,"71 W 4, 42 N 21",Capricorn,Uttara Ashadha,1,2,3,4,5,6,7,0,28,1
About Arjun Tendulkar/ Who is Arjun Tendulkar ?,"September 24, 1999",12:00:00,Mumbai,Aquarius,Dhanishta,Robin Roberts,"September 30, 1926",11:44:59,"89 W 39, 39 N 47",Cancer,Punarvasu,0,1,1,2,0,1,0,8,13,0
Sachin Tendulkar,"April 24, 1973",14:25:00,Mumbai,Sagittarius,Mula,Yuvraj Walmiki,"November 25, 1990",12:00:00,Mumbai,Aquarius,Dhanishta,1,2,1,2,3,6,7,8,30,1
Sourav Ganguly-1,"July 08, 1972",05:45:00,Calcutta,Taurus,Krittika,Justin Ryan Simpson,"August 06, 1988",23:46:00,"118 W 29, 34 N 0",Taurus,Krittika,1,2,3,4,5,6,7,0,28,1
About Praveen Dubey/ Who is Praveen Dubey ?,"July 1, 1993",12:00:00,Azamgarh,Scorpio,Vishakha,About Anuj Rawat/ Who is Anuj Rawat ?,"October 17, 1999",12:00:00,Ramnagar,Sagittarius,Mula,1,0,1,3,5,6,0,8,24,1
About Lukman Meriwala/ Who is Lukman Meriwala ?,"December 11, 1991",12:00:00,Vadodara,Capricorn,Uttara Ashadha,Joachim Low,"February 03, 1960",12:45:00,Schwarzwald,Aries,Ashwini,0,2,1,3,0,5,7,8,26,1
About Ishan Porel/ Who is Ishan Porel ?,"September 5, 1998",12:00:00,Chinsura,Aquarius,Dhanishta,Gurbaj Singh,"August 09, 1988",12:00:00,Jalandhar,Gemini,Mrigashira,1,2,3,2,4,1,0,0,13,0
About Chetan Sakariya/ Who is Chetan Sakariya ?,"August 12, 1998",12:00:00,Bhavnagar,Pisces,Purva Bhadrapada,Doug Bollinger,"July 24, 1981",12:00:00,Baulkham Hills,Aries,Ashwini,1,1,1,2,5,5,0,0,15,0
Lance Armstrong,"September 18, 1971",12:00:00,Plano,Leo,Magha,Alberto Aquilani,"July 07, 1984",12:00:00,Rome,Libra,Chitra,1,0,1,3,0,6,7,8,26,1
Salman Khan-1,"December 27, 1965",09:30:00,Mumbai,Capricorn,Uttara Ashadha,About C Hari Nishanth/ Who is C Hari Nishanth ?,"August 16, 1996",13:00:00,Chennai,Leo,Magha,0,0,1,3,0,0,0,0,4,0
About Riley Meredith/ Who is Riley Meredith ?,"June 21, 1996",12:00:00,Hobart,Leo,Magha,About Dawid Malan/ Who is Dawid Malan ?,"September 3, 1987",12:00:00,London,Sagittarius,Mula,1,0,3,2,5,6,0,8,25,1
About Tim Seifert/ Who is Tim Seifert ?,"December 12, 1994",12:00:00,Whangarei,Pisces,Purva Bhadrapada,Chris Miller,"August 09, 1965",09:36:59,"117 W 45, 34 N 3",Sagittarius,Mula,1,1,1,3,5,0,7,0,18,1
About Utkarsh Singh/ Who is Utkarsh Singh ?,"May 7, 1998",12:00:00,Ranchi,Virgo,Uttara Phalguni,Zaheer Khan,"October 07, 1978",12:00:00,Shrirampur,Scorpio,Vishakha,0,0,1,0,0,0,7,8,16,0
About Virendar Sehwag/ Who is Virendar Sehwag ?,"October 20, 1978",02:45:00,Delhi,Taurus,Krittika,About Mohammed Azharuddeen/ Who is Mohammed Azharuddeen ?,"March 22, 1994",12:00:00,Thalangara,Gemini,Mrigashira,1,1,1,3,5,1,0,8,20,1
About Vishnu Vinod/ Who is Vishnu Vinod ?,"December 2, 1993",12:00:00,Thirumangalam,Gemini,Mrigashira,Marco Parolo,"January 25, 1985",12:00:55,"Gallarate, Italy",Pisces,Purva Bhadrapada,0,1,1,3,0,6,7,8,26,1
About Kc Cariappa/ Who is Kc Cariappa ?,"April 13, 1994",12:00:00,Bangalore,Aries,Ashwini,R Ashwin,"September 17, 1986",12:00:00,Madras Tamilnadu,Aquarius,Dhanishta,1,1,1,2,0,1,7,8,21,1
M S Dhoni,"July 07, 1981",11:15:00,Ranchi,Virgo,Uttara Phalguni,Red Smith,"September 25, 1905",06:15:00,"88 W 1, 44 N 29",Cancer,Punarvasu,0,1,1,2,1,5,7,0,17,0
About Finn Allen/ Who is Finn Allen ?,"April 22, 1999",12:00:00,Auckland,Gemini,Mrigashira,About Digvijay Deshmukh/ Who is Digvijay Deshmukh ?,"April 12, 1998",12:00:00,Ambajogai,Libra,Chitra,1,2,3,3,5,1,0,0,15,0
About Prince Balwant Rai Singh/ Who is Prince Balwant Rai Singh ?,"May 5, 1999",12:00:00,Sangrur,Sagittarius,Mula,Jim Jackson,"October 14, 1970",10:25:59,"83 W 32, 41 N 39",Pisces,Purva Bhadrapada,0,1,1,2,5,0,7,0,16,0
Salvatore Sirigu,"January 12, 1987",12:00:00,"Nuoro, Italy",Taurus,Krittika,Shivendra Singh,"June 09, 1983",12:00:00,Gwalior,Aries,Ashwini,0,2,1,2,3,1,0,8,17,0
M S Dhoni,"July 07, 1981",11:15:00,Ranchi,Virgo,Uttara Phalguni,Drew Brees,"January 15, 1979",00:00:00,Austin,Cancer,Punarvasu,0,1,1,3,1,5,7,0,18,1
About Saurabh Kumar/ Who is Saurabh Kumar ?,"May 1, 1993",12:00:00,Baghpat,Leo,Magha,Deepak Thakur,"December 28, 1980",12:00:00,Bhamowal,Virgo,Uttara Phalguni,1,0,1,3,4,0,0,8,17,0
V V S Laxman,"November 01, 1974",10:26:23,Hyderabad,Aries,Ashwini,Joachim Low,"February 03, 1960",12:45:00,Schwarzwald,Aries,Ashwini,1,2,3,4,5,6,7,0,28,1
About Tim Seifert/ Who is Tim Seifert ?,"December 12, 1994",12:00:00,Whangarei,Pisces,Purva Bhadrapada,Deepak Thakur,"December 28, 1980",12:00:00,Bhamowal,Virgo,Uttara Phalguni,1,1,1,2,0,6,7,0,18,1
About Sandeep Bavanaka/ Who is Sandeep Bavanaka ?,"April 25, 1992",12:00:00,Hyderabad,Capricorn,Uttara Ashadha,About Abdul Samad/ Who is Abdul Samad ?,"October 28, 2001",12:00:00,Kalakote,Aquarius,Dhanishta,1,1,1,2,5,0,0,8,18,1
About Kc Cariappa/ Who is Kc Cariappa ?,"April 13, 1994",12:00:00,Bangalore,Aries,Ashwini,Justin Ryan Simpson,"August 06, 1988",23:46:00,"118 W 29, 34 N 0",Taurus,Krittika,1,2,1,2,3,1,0,8,18,1
Virat Kohli,"November 05, 1988",10:28:00,Delhi,Virgo,Uttara Phalguni,About Josh Philippe/ Who is Josh Philippe ?,"June 1, 1997",12:00:00,Subiaco,Pisces,Purva Bhadrapada,0,1,1,3,0,6,7,0,18,1
About Virendar Sehwag/ Who is Virendar Sehwag ?,"October 20, 1978",02:45:00,Delhi,Taurus,Krittika,Doug Bollinger,"July 24, 1981",12:00:00,Baulkham Hills,Aries,Ashwini,0,2,1,3,3,1,0,8,18,1
About Kartik Tyagi/ Who is Kartik Tyagi ?,"November 8, 2000",12:00:00,Hapur,Pisces,Purva Bhadrapada,Neil Broom,"November 20, 1983",00:00:00,Christchurch,Aries,Ashwini,1,1,1,3,5,5,0,0,16,0
About Kuldip Yadav/ Who is Kuldip Yadav ?,"December 14, 1994",12:00:00,Kanpur,Aries,Ashwini,Andrew Luck,"September 12, 1989",00:00:00,Washington D.C.,Capricorn,Uttara Ashadha,1,2,1,3,0,6,7,8,28,1
About R Sai Kishore/ Who is R Sai Kishore ?,"November 6, 1996",12:00:00,Chennai,Leo,Magha,Neymar,"February 05, 1992",02:15:00,Mogi das Cruzes,Aquarius,Dhanishta,1,0,1,2,0,6,7,8,25,1
Virat Kohli,"November 05, 1988",10:28:00,Delhi,Virgo,Uttara Phalguni,About Anuj Rawat/ Who is Anuj Rawat ?,"October 17, 1999",12:00:00,Ramnagar,Sagittarius,Mula,0,2,1,2,0,0,7,0,12,0
Claudio Marchisio,"January 19, 1986",12:00:00,Turin,Aries,Ashwini,Mattia De Sciglio,"October 20, 1992",12:00:00,Milan,Cancer,Punarvasu,0,1,1,2,4,6,7,0,21,1
About Alex Carey/ Who is Alex Carey ?,"August 27, 1991",12:00:00,loxton,Aquarius,Dhanishta,Alessio Cerci,"July 23, 1987",12:00:00,"Velletri, Italy",Gemini,Mrigashira,1,2,3,3,4,1,0,0,14,0
About Kuldip Yadav/ Who is Kuldip Yadav ?,"December 14, 1994",12:00:00,Kanpur,Aries,Ashwini,Mario Balotelli,"August 12, 1990",12:00:00,Palermo,Aries,Ashwini,1,2,3,4,5,6,7,0,28,1
R Ashwin,"September 17, 1986",12:00:00,Madras Tamilnadu,Aquarius,Dhanishta,Claudio Marchisio,"January 19, 1986",12:00:00,Turin,Aries,Ashwini,0,1,1,3,0,1,7,8,21,1
About Venkatesh Iyer/ Who is Venkatesh Iyer ?,"December 25, 1994",12:00:00,Indore,Virgo,Uttara Phalguni,Doug Smith,"June 21, 1944",12:09:59,"79 W 23, 43 N 39",Gemini,Mrigashira,1,2,1,3,5,5,7,8,32,1
About Sanjay Yadav/ Who is Sanjay Yadav ?,"May 10, 1995",12:00:00,Gorakhpur,Leo,Magha,R Ashwin,"September 17, 1986",12:00:00,Madras Tamilnadu,Aquarius,Dhanishta,1,0,1,2,0,6,7,8,25,1
About Sheldon Cottrell/ Who is Sheldon Cottrell ?,"August 19, 1989",12:00:00,jamaica,Pisces,Purva Bhadrapada,Brian Hill,"September 19, 1947",04:08:59,"74 W 9, 40 N 43",Libra,Chitra,1,1,1,2,0,0,0,8,13,0
Manoj Kumar Boxer,"December 10, 1986",12:00:00,Kaithal,Pisces,Purva Bhadrapada,Giorgio Chiellini,"August 14, 1984",12:00:00,Pisa,Aquarius,Dhanishta,1,1,1,4,3,0,0,8,18,1
About Sanjay Yadav/ Who is Sanjay Yadav ?,"May 10, 1995",12:00:00,Gorakhpur,Leo,Magha,Jim Jackson,"October 14, 1970",10:25:59,"83 W 32, 41 N 39",Pisces,Purva Bhadrapada,0,0,1,3,5,0,0,8,17,0
About Digvijay Deshmukh/ Who is Digvijay Deshmukh ?,"April 12, 1998",12:00:00,Ambajogai,Libra,Chitra,Sardara Singh,"July 15, 1986",12:00:00,Sant Nagar,Libra,Chitra,1,2,3,4,5,6,7,0,28,1
About Tushar Deshpande/ Who is Tushar Deshpande ?,"May 15, 1995",12:00:00,Mumbai,Scorpio,Vishakha,About Sanjay Yadav/ Who is Sanjay Yadav ?,"May 10, 1995",12:00:00,Gorakhpur,Leo,Magha,1,0,1,2,5,6,7,0,22,1
R Ashwin,"September 17, 1986",12:00:00,Madras Tamilnadu,Aquarius,Dhanishta,Shivendra Singh,"June 09, 1983",12:00:00,Gwalior,Aries,Ashwini,0,1,1,2,0,1,7,8,20,1
Manoj Kumar Boxer,"December 10, 1986",12:00:00,Kaithal,Pisces,Purva Bhadrapada,Gurbaj Singh,"August 09, 1988",12:00:00,Jalandhar,Gemini,Mrigashira,1,1,1,2,0,5,7,8,25,1
Gurbaj Singh,"August 09, 1988",12:00:00,Jalandhar,Gemini,Mrigashira,Sarwanjit Singh,"July 03, 1988",12:00:00,Ludhiana,Aquarius,Dhanishta,1,2,3,3,4,1,0,0,14,0
About Fabian Allen/ Who is Fabian Allen ?,"May 7, 1995",12:00:00,Kingston,Cancer,Punarvasu,About Imran Khan/ Who is Imran Khan ?,"October 5, 1952",06:45:00,Lahore,Aries,Ashwini,1,1,1,3,4,6,7,0,23,1
