person1_name,person1_dob,person1_tob,person1_pob,person1_moon_sign,person1_nakshatra,person2_name,person2_dob,person2_tob,person2_pob,person2_moon_sign,person2_nakshatra,varna_score,vashya_score,tara_score,yoni_score,graha_maitri_score,gana_score,bhakoot_score,nadi_score,total_score,compatible
Parupalli Kashyap,"September 08, 1986",12:00:00,Hyderabad,Libra,Chitra,Rajpal Singh,"August 08, 1983",12:00:00,Chandigarh,Cancer,Punarvasu,0,1,1,3,0,1,7,8,21,1
About Mohammed Azharuddeen/ Who is Mohammed Azharuddeen ?,"March 22, 1994",12:00:00,Thalangara,Gemini,Mrigashira,About Akash Singh/ Who is Akash Singh ?,"April 26, 2002",12:00:00,Bharatpur,Libra,Chitra,1,2,3,2,5,1,0,0,14,0
Marco Verratti,"November 05, 1992",12:00:00,Pescara,Aquarius,Dhanishta,Danish Mujtaba,"December 20, 1988",12:00:00,Allahabad,Aries,Ashwini,0,1,1,2,0,1,7,8,20,1
Jim Jackson,"October 14, 1970",10:25:59,"83 W 32, 41 N 39",Pisces,Purva Bhadrapada,Michael Nobbs,"January 04, 1954",12:00:00,Australian Alps,Sagittarius,Mula,1,1,1,3,5,0,7,0,18,1
About Sanjay Yadav/ Who is Sanjay Yadav ?,"May 10, 1995",12:00:00,Gorakhpur,Leo,Magha,About Fabian Allen/ Who is Fabian Allen ?,"May 7, 1995",12:00:00,Kingston,Cancer,Punarvasu,0,0,1,0,5,1,0,8,15,0
About Mohammed Azharuddeen/ Who is Mohammed Azharuddeen ?,"March 22, 1994",12:00:00,Thalangara,Gemini,Mrigashira,Doug Bollinger,"July 24, 1981",12:00:00,Baulkham Hills,Aries,Ashwini,0,1,1,3,0,6,7,8,26,1
About Rajat Patidar/ Who is Rajat Patidar ?,"June 1, 1993",12:00:00,Indore,Libra,Chitra,About Venkatesh Iyer/ Who is Venkatesh Iyer ?,"December 25, 1994",12:00:00,Indore,Virgo,Uttara Phalguni,0,2,1,0,5,0,0,8,16,0
About Akshar Patel/ Who is Akshar Patel ?,"January 20, 1994",12:00:00,Anand,Aries,Ashwini,About Dawid Malan/ Who is Dawid Malan ?,"September 3, 1987",12:00:00,London,Sagittarius,Mula,1,1,3,3,5,1,0,0,14,0
About Sanjay Yadav/ Who is Sanjay Yadav ?,"May 10, 1995",12:00:00,Gorakhpur,Leo,Magha,About Dawid Malan/ Who is Dawid Malan ?,"September 3, 1987",12:00:00,London,Sagittarius,Mula,1,0,3,3,5,6,0,8,26,1
About Sanjay Yadav/ Who is Sanjay Yadav ?,"May 10, 1995",12:00:00,Gorakhpur,Leo,Magha,About Chetan Sakariya/ Who is Chetan Sakariya ?,"August 12, 1998",12:00:00,Bhavnagar,Pisces,Purva Bhadrapada,0,0,1,2,5,0,0,8,16,0
Mehtab Hossain,"October 13, 1982",12:00:00,Calcutta,Leo,Magha,Claudio Marchisio,"January 19, 1986",12:00:00,Turin,Aries,Ashwini,1,0,3,2,5,1,0,8,20,1
Heena Sidhu,"August 29, 1989",12:00:00,Ludhiana,Cancer,Punarvasu,Antonio Cassano,"July 12, 1982",12:00:00,Bari,Pisces,Purva Bhadrapada,1,2,3,2,4,6,0,0,18,1
